,SCI,incarcerated_person_active_positive,incarcerated_person_asymptomatic_positive,incarcerated_person_deaths,staff_active_cases,staff_deaths,date
18,Muncy,6,4,1,2,0,2021-02-24
19,Phoenix,3,2,13,13,0,2021-02-24
20,Pine Grove,0,0,1,2,0,2021-02-24
21,Quehanna BC,1,0,0,0,0,2021-02-24
22,Rockview,4,3,1,1,0,2021-02-24
23,Smithfield,51,51,6,0,1,2021-02-24
24,Somerset,0,0,4,4,0,2021-02-24
25,Waymart,40,21,14,13,0,2021-02-24
2,Albion,103,73,2,35,0,2021-01-29
3,Benner Township,25,10,5,7,0,2021-01-29
4,Cambridge Springs,4,1,1,5,0,2021-01-29
5,Camp Hill,9,7,3,27,1,2021-01-29
6,Chester,3,3,10,9,0,2021-01-29
7,Coal Township,14,8,0,40,0,2021-01-29
8,Dallas,3,2,9,21,0,2021-01-29
9,Fayette,6,5,2,9,1,2021-01-29
10,Forest,97,83,4,18,0,2021-01-29
11,Frackville,5,4,0,6,0,2021-01-29
12,Greene,11,11,1,7,0,2021-01-29
13,Houtzdale,19,3,1,9,1,2021-01-29
14,Huntingdon,9,6,7,11,0,2021-01-29
15,Laurel Highlands,12,12,11,10,0,2021-01-29
16,Mahanoy,22,2,4,9,0,2021-01-29
17,Mercer,4,3,4,3,0,2021-01-29
18,Muncy,16,12,1,8,0,2021-01-29
19,Phoenix,26,16,11,35,0,2021-01-29
20,Pine Grove,0,0,1,7,0,2021-01-29
21,Quehanna BC,15,0,0,4,0,2021-01-29
22,Rockview,3,3,1,2,0,2021-01-29
23,Smithfield,69,69,6,5,1,2021-01-29
24,Somerset,1,1,4,8,0,2021-01-29
25,Waymart,164,143,5,28,0,2021-01-29
2,Albion,27,8,2,11,0,2021-03-03
3,Benner Township,7,4,6,1,0,2021-03-03
4,Cambridge Springs,0,0,1,5,0,2021-03-03
5,Camp Hill,355,347,3,36,1,2021-03-03
6,Chester,0,0,10,4,0,2021-03-03
7,Coal Township,6,6,0,16,0,2021-03-03
8,Dallas,0,0,9,8,0,2021-03-03
9,Fayette,16,15,3,4,1,2021-03-03
10,Forest,7,4,4,3,0,2021-03-03
11,Frackville,1,1,0,1,0,2021-03-03
12,Greene,2,2,1,1,0,2021-03-03
13,Houtzdale,3,2,2,6,1,2021-03-03
14,Huntingdon,9,7,8,7,0,2021-03-03
15,Laurel Highlands,1,1,11,2,0,2021-03-03
16,Mahanoy,8,1,4,4,0,2021-03-03
17,Mercer,83,76,4,1,0,2021-03-03
18,Muncy,4,4,1,2,0,2021-03-03
19,Phoenix,4,3,13,12,0,2021-03-03
20,Pine Grove,0,0,1,2,0,2021-03-03
21,Quehanna BC,0,0,0,0,0,2021-03-03
22,Rockview,4,3,1,2,0,2021-03-03
23,Smithfield,22,22,6,0,1,2021-03-03
24,Somerset,1,0,4,6,0,2021-03-03
25,Waymart,37,20,16,11,0,2021-03-03
2,Albion,148,82,2,29,0,2021-02-03
3,Benner Township,17,7,5,6,0,2021-02-03
4,Cambridge Springs,2,1,1,5,0,2021-02-03
5,Camp Hill,5,4,3,27,1,2021-02-03
6,Chester,2,1,10,8,0,2021-02-03
7,Coal Township,8,4,0,35,0,2021-02-03
8,Dallas,2,1,9,20,0,2021-02-03
9,Fayette,8,7,2,15,1,2021-02-03
10,Forest,28,16,4,8,0,2021-02-03
11,Frackville,3,2,0,4,0,2021-02-03
12,Greene,10,10,1,7,0,2021-02-03
13,Houtzdale,20,5,1,5,1,2021-02-03
14,Huntingdon,6,3,7,8,0,2021-02-03
15,Laurel Highlands,9,9,11,10,0,2021-02-03
16,Mahanoy,14,0,4,5,0,2021-02-03
17,Mercer,4,3,4,2,0,2021-02-03
18,Muncy,16,12,1,4,0,2021-02-03
19,Phoenix,19,10,12,32,0,2021-02-03
20,Pine Grove,0,0,1,5,0,2021-02-03
21,Quehanna BC,12,0,0,2,0,2021-02-03
22,Rockview,2,2,1,0,0,2021-02-03
23,Smithfield,85,83,6,6,1,2021-02-03
24,Somerset,0,0,4,7,0,2021-02-03
25,Waymart,176,156,7,24,0,2021-02-03
2,Albion,29,15,2,15,0,2021-03-02
3,Benner Township,9,6,6,1,0,2021-03-02
4,Cambridge Springs,0,0,1,5,0,2021-03-02
5,Camp Hill,360,346,3,32,1,2021-03-02
6,Chester,1,0,10,5,0,2021-03-02
7,Coal Township,6,5,0,15,0,2021-03-02
8,Dallas,0,0,9,8,0,2021-03-02
9,Fayette,17,16,3,4,1,2021-03-02
10,Forest,6,3,4,2,0,2021-03-02
11,Frackville,3,2,0,2,0,2021-03-02
12,Greene,4,4,1,3,0,2021-03-02
13,Houtzdale,3,2,2,7,1,2021-03-02
14,Huntingdon,7,6,8,7,0,2021-03-02
15,Laurel Highlands,0,0,11,3,0,2021-03-02
16,Mahanoy,5,0,4,4,0,2021-03-02
17,Mercer,83,76,4,2,0,2021-03-02
18,Muncy,4,4,1,2,0,2021-03-02
19,Phoenix,4,3,13,12,0,2021-03-02
20,Pine Grove,0,0,1,2,0,2021-03-02
21,Quehanna BC,1,0,0,0,0,2021-03-02
22,Rockview,7,5,1,2,0,2021-03-02
23,Smithfield,21,21,6,0,1,2021-03-02
24,Somerset,1,0,4,5,0,2021-03-02
25,Waymart,37,21,16,11,0,2021-03-02
2,Albion,33,15,2,14,0,2021-02-22
3,Benner Township,8,6,6,3,0,2021-02-22
4,Cambridge Springs,0,0,1,2,0,2021-02-22
5,Camp Hill,26,16,3,28,1,2021-02-22
6,Chester,1,0,10,8,0,2021-02-22
7,Coal Township,150,148,0,21,0,2021-02-22
8,Dallas,0,0,9,10,0,2021-02-22
9,Fayette,17,15,2,8,1,2021-02-22
10,Forest,14,10,4,6,0,2021-02-22
11,Frackville,5,4,0,3,0,2021-02-22
12,Greene,2,2,1,4,0,2021-02-22
13,Houtzdale,2,2,2,7,1,2021-02-22
14,Huntingdon,5,3,7,3,0,2021-02-22
15,Laurel Highlands,0,0,11,2,0,2021-02-22
16,Mahanoy,9,1,4,6,0,2021-02-22
17,Mercer,2,2,4,3,0,2021-02-22
18,Muncy,10,8,1,2,0,2021-02-22
19,Phoenix,2,1,13,13,0,2021-02-22
20,Pine Grove,0,0,1,2,0,2021-02-22
21,Quehanna BC,1,0,0,0,0,2021-02-22
22,Rockview,4,3,1,1,0,2021-02-22
23,Smithfield,66,66,6,0,1,2021-02-22
24,Somerset,0,0,4,3,0,2021-02-22
25,Waymart,40,21,14,13,0,2021-02-22
2,Albion,29,15,2,15,0,2021-02-26
3,Benner Township,6,4,6,3,0,2021-02-26
4,Cambridge Springs,0,0,1,3,0,2021-02-26
5,Camp Hill,206,192,3,30,1,2021-02-26
6,Chester,1,0,10,5,0,2021-02-26
7,Coal Township,8,7,0,16,0,2021-02-26
8,Dallas,0,0,9,9,0,2021-02-26
9,Fayette,19,15,2,7,1,2021-02-26
10,Forest,6,3,4,4,0,2021-02-26
11,Frackville,3,2,0,2,0,2021-02-26
12,Greene,3,3,1,4,0,2021-02-26
13,Houtzdale,2,1,2,6,1,2021-02-26
14,Huntingdon,6,5,8,4,0,2021-02-26
15,Laurel Highlands,0,0,11,2,0,2021-02-26
16,Mahanoy,5,0,4,6,0,2021-02-26
17,Mercer,5,5,4,3,0,2021-02-26
18,Muncy,3,3,1,2,0,2021-02-26
19,Phoenix,4,3,13,12,0,2021-02-26
20,Pine Grove,0,0,1,2,0,2021-02-26
21,Quehanna BC,1,0,0,0,0,2021-02-26
22,Rockview,7,5,1,2,0,2021-02-26
23,Smithfield,32,32,6,0,1,2021-02-26
24,Somerset,0,0,4,5,0,2021-02-26
25,Waymart,39,21,14,12,0,2021-02-26
2,Albion,40,22,2,12,0,2021-02-19
3,Benner Township,9,7,6,4,0,2021-02-19
4,Cambridge Springs,0,0,1,2,0,2021-02-19
5,Camp Hill,21,12,3,30,1,2021-02-19
6,Chester,1,0,10,8,0,2021-02-19
7,Coal Township,154,149,0,20,0,2021-02-19
8,Dallas,0,0,9,9,0,2021-02-19
9,Fayette,17,15,2,9,1,2021-02-19
10,Forest,13,8,4,6,0,2021-02-19
11,Frackville,5,4,0,3,0,2021-02-19
12,Greene,1,1,1,3,0,2021-02-19
13,Houtzdale,2,2,2,9,1,2021-02-19
