date,SCI,incarcerated_person_positive
2020-11-22,Benner,0
2020-11-23,Benner,0
2020-11-24,Benner,5
2020-11-25,Benner,1
2020-11-27,Benner,3
2020-11-28,Benner,6
2020-11-29,Benner,0
2020-11-30,Benner,0
2020-12-01,Benner,12
2020-12-02,Benner,0
2020-12-03,Benner,1
2020-12-04,Benner,0
2020-12-05,Benner,0
2020-12-06,Benner,0
2020-12-07,Benner,0
2020-12-08,Benner,36
2020-12-09,Benner,19
2020-12-10,Benner,4
2020-12-11,Benner,4
2020-12-12,Benner,3
2020-12-13,Benner,0
2020-12-14,Benner,0
2020-12-15,Benner,8
2020-12-16,Benner,2
2020-12-17,Benner,0
2020-12-18,Benner,3
2020-12-19,Benner,3
2020-12-20,Benner,0
2020-12-21,Benner,0
2020-12-22,Benner,3
2020-12-23,Benner,0
2020-12-24,Benner,0
2020-12-25,Benner,0
2020-12-26,Benner,2
2020-12-27,Benner,0
2020-12-28,Benner,0
2020-12-29,Benner,0
2020-12-30,Benner,11
2020-12-31,Benner,1
2021-01-01,Benner,0
2021-01-02,Benner,0
2021-01-03,Benner,0
2021-01-04,Benner,0
2021-01-05,Benner,7
2021-01-06,Benner,5
2021-01-07,Benner,5
2021-01-08,Benner,0
2021-01-09,Benner,6
2021-01-11,Benner,0
2021-01-12,Benner,5
2021-01-13,Benner,2
2021-01-14,Benner,3
2021-01-15,Benner,7
2021-01-16,Benner,3
2021-01-17,Benner,0
2021-01-18,Benner,0
2021-01-19,Benner,0
2021-01-20,Benner,6
2021-01-21,Benner,0
2021-01-22,Benner,0
2021-01-23,Benner,5
2021-01-24,Benner,0
2021-01-25,Benner,0
2021-01-26,Benner,4
2021-01-27,Benner,0
2021-01-28,Benner,1
2021-01-29,Benner,6
2021-01-30,Benner,0
2021-01-31,Benner,0
2021-02-01,Benner,0
2021-02-02,Benner,0
2021-02-03,Benner,0
2021-02-04,Benner,0
2021-02-05,Benner,1
2021-02-06,Benner,1
2021-02-08,Benner,0
2021-02-09,Benner,2
2021-02-10,Benner,1
2021-02-11,Benner,0
2021-02-12,Benner,1
2021-02-13,Benner,0
2021-02-14,Benner,0
2021-02-15,Benner,0
