,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
16444,Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-08-30
16445,Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-08-30
16446,Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-08-30
16447,Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-08-30
16448,Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-08-30
16449,Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-08-30
16450,Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-08-30
16451,Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-08-30
16452,Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-08-30
16453,Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-08-30
16454,Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-08-30
16455,Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-08-30
16456,Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-08-30
16457,Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-08-30
16458,Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-08-30
16459,Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-08-30
16460,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-30
16461,Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-08-30
16462,Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-08-30
16463,Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-08-30
16464,Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-08-30
16465,SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-08-30
16466,CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-08-30
16467,CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-08-30
16468,CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-08-30
16469,CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-08-30
16470,Albion,2208.0,4.0,2204.0,-1.0,-1.0,16.0,2020-08-18
16471,Benner,2022.0,3.0,2019.0,-2.0,-2.0,-9.0,2020-08-18
16472,Camp Hill,1803.0,9.0,1794.0,35.0,35.0,-60.0,2020-08-18
16473,Cambridge Springs,999.0,19.0,980.0,-5.0,-5.0,-16.0,2020-08-18
16474,Chester,992.0,3.0,989.0,-4.0,-4.0,-7.0,2020-08-18
16475,Coal Township,2268.0,4.0,2264.0,-6.0,-6.0,81.0,2020-08-18
16476,Dallas,2132.0,2.0,2130.0,0.0,0.0,-5.0,2020-08-18
16477,Frackville,1188.0,4.0,1184.0,-6.0,-6.0,10.0,2020-08-18
16478,Forest,2385.0,7.0,2378.0,-1.0,-1.0,15.0,2020-08-18
16479,Fayette,2010.0,4.0,2006.0,-1.0,-1.0,7.0,2020-08-18
16480,Greene,1673.0,3.0,1670.0,0.0,0.0,-27.0,2020-08-18
16481,Houtzdale,2457.0,3.0,2454.0,-5.0,-5.0,-27.0,2020-08-18
16482,Huntingdon,1820.0,1.0,1819.0,-1.0,-1.0,-12.0,2020-08-18
16483,Laurel Highlands,1016.0,16.0,1000.0,-7.0,-7.0,-153.0,2020-08-18
16484,Mahanoy,2312.0,5.0,2307.0,-1.0,-1.0,-13.0,2020-08-18
16485,Mercer,1353.0,3.0,1350.0,-8.0,-8.0,-11.0,2020-08-18
16486,Muncy,1094.0,11.0,1083.0,-4.0,-4.0,-28.0,2020-08-18
16487,Phoenix,2831.0,8.0,2823.0,-6.0,-6.0,-2.0,2020-08-18
16488,Pine Grove,1049.0,4.0,1045.0,-1.0,-1.0,9.0,2020-08-18
16489,Quehanna,454.0,0.0,454.0,1.0,1.0,20.0,2020-08-18
16490,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-18
16491,Rockview,1914.0,6.0,1908.0,0.0,0.0,-32.0,2020-08-18
16492,Smithfield,1377.0,4.0,1373.0,-1.0,-1.0,-15.0,2020-08-18
16493,Somerset,2297.0,0.0,2297.0,-1.0,-1.0,-4.0,2020-08-18
16494,Waymart,1109.0,11.0,1098.0,0.0,0.0,-19.0,2020-08-18
16495,SCI TOTAL,40763.0,134.0,40629.0,-25.0,-25.0,-282.0,2020-08-18
16496,CCC/F East,702.0,0.0,702.0,0.0,0.0,-126.0,2020-08-18
16497,CCC/F Central,900.0,0.0,900.0,0.0,0.0,14.0,2020-08-18
16498,CCC/F West,658.0,0.0,658.0,0.0,0.0,37.0,2020-08-18
16499,CCC/F TOTAL,2260.0,0.0,2260.0,0.0,0.0,-75.0,2020-08-18
16500,Albion,2217.0,4.0,2213.0,0.0,4.0,33.0,2020-06-21
16501,Benner,1979.0,3.0,1976.0,-1.0,-4.0,-32.0,2020-06-21
16502,Camp Hill,2367.0,10.0,2357.0,-85.0,-119.0,-360.0,2020-06-21
16503,Cambridge Springs,1045.0,19.0,1026.0,-1.0,-3.0,-15.0,2020-06-21
16504,Chester,890.0,3.0,887.0,-1.0,-9.0,-42.0,2020-06-21
16505,Coal Township,2094.0,4.0,2090.0,-3.0,32.0,55.0,2020-06-21
16506,Dallas,2155.0,3.0,2152.0,-1.0,12.0,27.0,2020-06-21
16507,Frackville,1200.0,4.0,1196.0,15.0,14.0,22.0,2020-06-21
16508,Forest,2352.0,8.0,2344.0,-1.0,0.0,27.0,2020-06-21
16509,Fayette,1944.0,4.0,1940.0,23.0,46.0,62.0,2020-06-21
16510,Greene,1739.0,4.0,1735.0,-3.0,-6.0,8.0,2020-06-21
16511,Houtzdale,2424.0,4.0,2420.0,19.0,18.0,0.0,2020-06-21
16512,Huntingdon,1879.0,1.0,1878.0,-1.0,-1.0,-8.0,2020-06-21
16513,Laurel Highlands,1259.0,18.0,1241.0,-1.0,-6.0,-42.0,2020-06-21
16514,Mahanoy,2302.0,6.0,2296.0,14.0,13.0,44.0,2020-06-21
16515,Mercer,1306.0,3.0,1303.0,23.0,21.0,0.0,2020-06-21
16516,Muncy,1177.0,11.0,1166.0,5.0,3.0,-61.0,2020-06-21
16517,Phoenix,2876.0,9.0,2867.0,-3.0,-8.0,-63.0,2020-06-21
16518,Pine Grove,1014.0,4.0,1010.0,-1.0,-3.0,8.0,2020-06-21
16519,Quehanna,387.0,0.0,387.0,0.0,0.0,-15.0,2020-06-21
16520,Retreat,536.0,0.0,536.0,-4.0,-56.0,-50.0,2020-06-21
16521,Rockview,2010.0,8.0,2002.0,0.0,-2.0,-23.0,2020-06-21
16522,Smithfield,1271.0,5.0,1266.0,-1.0,4.0,11.0,2020-06-21
16523,Somerset,2268.0,0.0,2268.0,-4.0,-9.0,-15.0,2020-06-21
16524,Waymart,1201.0,11.0,1190.0,-1.0,-3.0,-33.0,2020-06-21
16525,SCI TOTAL,41892.0,146.0,41746.0,-13.0,-62.0,-462.0,2020-06-21
16526,CCC/F East,959.0,0.0,959.0,-1.0,-27.0,-36.0,2020-06-21
16527,CCC/F Central,1000.0,0.0,1000.0,-22.0,-21.0,-125.0,2020-06-21
16528,CCC/F West,658.0,0.0,658.0,-8.0,-26.0,-65.0,2020-06-21
16529,CCC/F TOTAL,2617.0,0.0,2617.0,-31.0,-74.0,-226.0,2020-06-21
16530,Albion,2217.0,4.0,2213.0,0.0,4.0,33.0,2020-06-20
16531,Benner,1979.0,3.0,1976.0,-1.0,-4.0,-32.0,2020-06-20
16532,Camp Hill,2367.0,10.0,2357.0,-85.0,-119.0,-360.0,2020-06-20
16533,Cambridge Springs,1045.0,19.0,1026.0,-1.0,-3.0,-15.0,2020-06-20
16534,Chester,890.0,3.0,887.0,-1.0,-9.0,-42.0,2020-06-20
16535,Coal Township,2094.0,4.0,2090.0,-3.0,32.0,55.0,2020-06-20
16536,Dallas,2155.0,3.0,2152.0,-1.0,12.0,27.0,2020-06-20
16537,Frackville,1200.0,4.0,1196.0,15.0,14.0,22.0,2020-06-20
16538,Forest,2352.0,8.0,2344.0,-1.0,0.0,27.0,2020-06-20
16539,Fayette,1944.0,4.0,1940.0,23.0,46.0,62.0,2020-06-20
16540,Greene,1739.0,4.0,1735.0,-3.0,-6.0,8.0,2020-06-20
16541,Houtzdale,2424.0,4.0,2420.0,19.0,18.0,0.0,2020-06-20
16542,Huntingdon,1879.0,1.0,1878.0,-1.0,-1.0,-8.0,2020-06-20
16543,Laurel Highlands,1259.0,18.0,1241.0,-1.0,-6.0,-42.0,2020-06-20
16544,Mahanoy,2302.0,6.0,2296.0,14.0,13.0,44.0,2020-06-20
16545,Mercer,1306.0,3.0,1303.0,23.0,21.0,0.0,2020-06-20
16546,Muncy,1177.0,11.0,1166.0,5.0,3.0,-61.0,2020-06-20
16547,Phoenix,2876.0,9.0,2867.0,-3.0,-8.0,-63.0,2020-06-20
16548,Pine Grove,1014.0,4.0,1010.0,-1.0,-3.0,8.0,2020-06-20
16549,Quehanna,387.0,0.0,387.0,0.0,0.0,-15.0,2020-06-20
16550,Retreat,536.0,0.0,536.0,-4.0,-56.0,-50.0,2020-06-20
16551,Rockview,2010.0,8.0,2002.0,0.0,-2.0,-23.0,2020-06-20
16552,Smithfield,1271.0,5.0,1266.0,-1.0,4.0,11.0,2020-06-20
16553,Somerset,2268.0,0.0,2268.0,-4.0,-9.0,-15.0,2020-06-20
16554,Waymart,1201.0,11.0,1190.0,-1.0,-3.0,-33.0,2020-06-20
16555,SCI TOTAL,41892.0,146.0,41746.0,-13.0,-62.0,-462.0,2020-06-20
16556,CCC/F East,959.0,0.0,959.0,-1.0,-27.0,-36.0,2020-06-20
16557,CCC/F Central,1000.0,0.0,1000.0,-22.0,-21.0,-125.0,2020-06-20
16558,CCC/F West,658.0,0.0,658.0,-8.0,-26.0,-65.0,2020-06-20
16559,CCC/F TOTAL,2617.0,0.0,2617.0,-31.0,-74.0,-226.0,2020-06-20
16560,Albion,2208.0,4.0,2204.0,-1.0,-1.0,16.0,2020-08-19
16561,Benner,2022.0,3.0,2019.0,-2.0,-2.0,-9.0,2020-08-19
16562,Camp Hill,1803.0,9.0,1794.0,35.0,35.0,-60.0,2020-08-19
16563,Cambridge Springs,999.0,19.0,980.0,-5.0,-5.0,-16.0,2020-08-19
16564,Chester,992.0,3.0,989.0,-4.0,-4.0,-7.0,2020-08-19
16565,Coal Township,2268.0,4.0,2264.0,-6.0,-6.0,81.0,2020-08-19
16566,Dallas,2132.0,2.0,2130.0,0.0,0.0,-5.0,2020-08-19
16567,Frackville,1188.0,4.0,1184.0,-6.0,-6.0,10.0,2020-08-19
16568,Forest,2385.0,7.0,2378.0,-1.0,-1.0,15.0,2020-08-19
16569,Fayette,2010.0,4.0,2006.0,-1.0,-1.0,7.0,2020-08-19
16570,Greene,1673.0,3.0,1670.0,0.0,0.0,-27.0,2020-08-19
16571,Houtzdale,2457.0,3.0,2454.0,-5.0,-5.0,-27.0,2020-08-19
16572,Huntingdon,1820.0,1.0,1819.0,-1.0,-1.0,-12.0,2020-08-19
16573,Laurel Highlands,1016.0,16.0,1000.0,-7.0,-7.0,-153.0,2020-08-19
16574,Mahanoy,2312.0,5.0,2307.0,-1.0,-1.0,-13.0,2020-08-19
16575,Mercer,1353.0,3.0,1350.0,-8.0,-8.0,-11.0,2020-08-19
16576,Muncy,1094.0,11.0,1083.0,-4.0,-4.0,-28.0,2020-08-19
16577,Phoenix,2831.0,8.0,2823.0,-6.0,-6.0,-2.0,2020-08-19
16578,Pine Grove,1049.0,4.0,1045.0,-1.0,-1.0,9.0,2020-08-19
16579,Quehanna,454.0,0.0,454.0,1.0,1.0,20.0,2020-08-19
16580,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-19
16581,Rockview,1914.0,6.0,1908.0,0.0,0.0,-32.0,2020-08-19
16582,Smithfield,1377.0,4.0,1373.0,-1.0,-1.0,-15.0,2020-08-19
16583,Somerset,2297.0,0.0,2297.0,-1.0,-1.0,-4.0,2020-08-19
16584,Waymart,1109.0,11.0,1098.0,0.0,0.0,-19.0,2020-08-19
16585,SCI TOTAL,40763.0,134.0,40629.0,-25.0,-25.0,-282.0,2020-08-19
16586,CCC/F East,702.0,0.0,702.0,0.0,0.0,-126.0,2020-08-19
16587,CCC/F Central,900.0,0.0,900.0,0.0,0.0,14.0,2020-08-19
16588,CCC/F West,658.0,0.0,658.0,0.0,0.0,37.0,2020-08-19
16589,CCC/F TOTAL,2260.0,0.0,2260.0,0.0,0.0,-75.0,2020-08-19
16590,Albion,2231.0,4.0,2227.0,0.0,-9.0,-6.0,2020-08-31
16591,Benner,2011.0,3.0,2008.0,1.0,-2.0,0.0,2020-08-31
16592,Camp Hill,2160.0,8.0,2152.0,-1.0,27.0,-17.0,2020-08-31
16593,Cambridge Springs,989.0,19.0,970.0,3.0,4.0,-2.0,2020-08-31
16594,Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-08-31
16595,Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-08-31
16596,Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-08-31
16597,Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-08-31
16598,Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-08-31
16599,Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-08-31
16600,Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-08-31
16601,Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-08-31
16602,Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-08-31
16603,Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-08-31
16604,Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-08-31
16605,Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-08-31
16606,Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-08-31
16607,Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-08-31
16608,Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-08-31
16609,Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-08-31
16610,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-31
16611,Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-08-31
16612,Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-08-31
16613,Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-08-31
16614,Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-08-31
16615,SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-08-31
16616,CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-08-31
16617,CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-08-31
16618,CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-08-31
16619,CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-08-31
16620,Albion,2219.0,4.0,2215.0,0.0,35.0,35.0,2020-06-08
16621,Benner,1994.0,4.0,1990.0,-1.0,-18.0,-18.0,2020-06-08
16622,Camp Hill,2486.0,10.0,2476.0,-57.0,-241.0,-241.0,2020-06-08
16623,Cambridge Springs,1054.0,18.0,1036.0,-4.0,-8.0,-5.0,2020-06-08
16624,Chester,915.0,3.0,912.0,-9.0,-17.0,-17.0,2020-06-08
16625,Coal Township,2070.0,4.0,2066.0,25.0,29.0,31.0,2020-06-08
16626,Dallas,2161.0,3.0,2158.0,25.0,33.0,33.0,2020-06-08
16627,Frackville,1194.0,4.0,1190.0,-3.0,16.0,16.0,2020-06-08
16628,Forest,2349.0,7.0,2342.0,-1.0,25.0,25.0,2020-06-08
16629,Fayette,1908.0,4.0,1904.0,1.0,26.0,26.0,2020-06-08
16630,Greene,1754.0,4.0,1750.0,2.0,23.0,23.0,2020-06-08
16631,Houtzdale,2408.0,4.0,2404.0,-1.0,-17.0,-16.0,2020-06-08
16632,Huntingdon,1884.0,1.0,1883.0,0.0,-3.0,-3.0,2020-06-08
16633,Laurel Highlands,1284.0,18.0,1266.0,0.0,-18.0,-17.0,2020-06-08
16634,Mahanoy,2304.0,7.0,2297.0,-2.0,44.0,45.0,2020-06-08
16635,Mercer,1294.0,3.0,1291.0,-4.0,-15.0,-12.0,2020-06-08
16636,Muncy,1202.0,11.0,1191.0,-16.0,-36.0,-36.0,2020-06-08
16637,Phoenix,2906.0,9.0,2897.0,-4.0,-35.0,-33.0,2020-06-08
16638,Pine Grove,1019.0,4.0,1015.0,-2.0,12.0,13.0,2020-06-08
16639,Quehanna,392.0,0.0,392.0,35.0,-10.0,-10.0,2020-06-08
16640,Retreat,514.0,0.0,514.0,-10.0,-72.0,-72.0,2020-06-08
16641,Rockview,2021.0,8.0,2013.0,-5.0,-13.0,-12.0,2020-06-08
16642,Smithfield,1273.0,5.0,1268.0,0.0,13.0,13.0,2020-06-08
16643,Somerset,2284.0,0.0,2284.0,-3.0,0.0,1.0,2020-06-08
16644,Waymart,1216.0,11.0,1205.0,-4.0,-19.0,-18.0,2020-06-08
16645,SCI TOTAL,42105.0,146.0,41959.0,-38.0,-266.0,-249.0,2020-06-08
16646,CCC/F East,975.0,0.0,975.0,1.0,-20.0,-20.0,2020-06-08
16647,CCC/F Central,1114.0,0.0,1114.0,-3.0,-11.0,-11.0,2020-06-08
16648,CCC/F West,694.0,0.0,694.0,-8.0,-29.0,-29.0,2020-06-08
16649,CCC/F TOTAL,2783.0,0.0,2783.0,-10.0,-60.0,-60.0,2020-06-08
16650,Albion,2208.0,4.0,2204.0,-1.0,-1.0,16.0,2020-08-25
16651,Benner,2022.0,3.0,2019.0,-2.0,-2.0,-9.0,2020-08-25
16652,Camp Hill,1803.0,9.0,1794.0,35.0,35.0,-60.0,2020-08-25
16653,Cambridge Springs,999.0,19.0,980.0,-5.0,-5.0,-16.0,2020-08-25
16654,Chester,992.0,3.0,989.0,-4.0,-4.0,-7.0,2020-08-25
16655,Coal Township,2268.0,4.0,2264.0,-6.0,-6.0,81.0,2020-08-25
16656,Dallas,2132.0,2.0,2130.0,0.0,0.0,-5.0,2020-08-25
16657,Frackville,1188.0,4.0,1184.0,-6.0,-6.0,10.0,2020-08-25
16658,Forest,2385.0,7.0,2378.0,-1.0,-1.0,15.0,2020-08-25
16659,Fayette,2010.0,4.0,2006.0,-1.0,-1.0,7.0,2020-08-25
16660,Greene,1673.0,3.0,1670.0,0.0,0.0,-27.0,2020-08-25
16661,Houtzdale,2457.0,3.0,2454.0,-5.0,-5.0,-27.0,2020-08-25
16662,Huntingdon,1820.0,1.0,1819.0,-1.0,-1.0,-12.0,2020-08-25
16663,Laurel Highlands,1016.0,16.0,1000.0,-7.0,-7.0,-153.0,2020-08-25
16664,Mahanoy,2312.0,5.0,2307.0,-1.0,-1.0,-13.0,2020-08-25
16665,Mercer,1353.0,3.0,1350.0,-8.0,-8.0,-11.0,2020-08-25
16666,Muncy,1094.0,11.0,1083.0,-4.0,-4.0,-28.0,2020-08-25
16667,Phoenix,2831.0,8.0,2823.0,-6.0,-6.0,-2.0,2020-08-25
16668,Pine Grove,1049.0,4.0,1045.0,-1.0,-1.0,9.0,2020-08-25
16669,Quehanna,454.0,0.0,454.0,1.0,1.0,20.0,2020-08-25
16670,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-25
16671,Rockview,1914.0,6.0,1908.0,0.0,0.0,-32.0,2020-08-25
16672,Smithfield,1377.0,4.0,1373.0,-1.0,-1.0,-15.0,2020-08-25
16673,Somerset,2297.0,0.0,2297.0,-1.0,-1.0,-4.0,2020-08-25
16674,Waymart,1109.0,11.0,1098.0,0.0,0.0,-19.0,2020-08-25
16675,SCI TOTAL,40763.0,134.0,40629.0,-25.0,-25.0,-282.0,2020-08-25
16676,CCC/F East,702.0,0.0,702.0,0.0,0.0,-126.0,2020-08-25
16677,CCC/F Central,900.0,0.0,900.0,0.0,0.0,14.0,2020-08-25
16678,CCC/F West,658.0,0.0,658.0,0.0,0.0,37.0,2020-08-25
16679,CCC/F TOTAL,2260.0,0.0,2260.0,0.0,0.0,-75.0,2020-08-25
16680,Albion,2172.0,4.0,2168.0,0.0,-7.0,1.0,2020-11-04
16681,Benner,1941.0,3.0,1938.0,-12.0,-13.0,-13.0,2020-11-04
16682,Camp Hill,2000.0,7.0,1993.0,-65.0,-154.0,-55.0,2020-11-04
16683,Cambridge Springs,967.0,18.0,949.0,-3.0,1.0,-3.0,2020-11-04
16684,Chester,1024.0,2.0,1022.0,-2.0,-6.0,-5.0,2020-11-04
16685,Coal Township,2303.0,4.0,2299.0,13.0,18.0,15.0,2020-11-04
16686,Dallas,1991.0,2.0,1989.0,-1.0,-37.0,-6.0,2020-11-04
16687,Frackville,1142.0,3.0,1139.0,98.0,123.0,96.0,2020-11-04
16688,Forest,2322.0,4.0,2318.0,11.0,6.0,7.0,2020-11-04
16689,Fayette,1947.0,3.0,1944.0,3.0,-1.0,1.0,2020-11-04
16690,Greene,1718.0,3.0,1715.0,-1.0,4.0,0.0,2020-11-04
16691,Houtzdale,2407.0,2.0,2405.0,-10.0,-12.0,-10.0,2020-11-04
16692,Huntingdon,1704.0,1.0,1703.0,0.0,-3.0,-2.0,2020-11-04
16693,Laurel Highlands,855.0,13.0,842.0,-1.0,-5.0,-4.0,2020-11-04
16694,Mahanoy,2265.0,5.0,2260.0,-1.0,-5.0,-5.0,2020-11-04
16695,Mercer,1206.0,3.0,1203.0,-1.0,-6.0,-5.0,2020-11-04
16696,Muncy,1064.0,10.0,1054.0,-2.0,-14.0,-3.0,2020-11-04
16697,Phoenix,2986.0,9.0,2977.0,25.0,111.0,15.0,2020-11-04
16698,Pine Grove,978.0,3.0,975.0,-5.0,-13.0,-12.0,2020-11-04
16699,Quehanna,356.0,0.0,356.0,8.0,39.0,39.0,2020-11-04
16700,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-04
16701,Rockview,1577.0,5.0,1572.0,0.0,-5.0,-5.0,2020-11-04
16702,Smithfield,1333.0,4.0,1329.0,0.0,-4.0,-2.0,2020-11-04
16703,Somerset,2212.0,0.0,2212.0,-6.0,-10.0,-10.0,2020-11-04
16704,Waymart,999.0,7.0,992.0,-2.0,-6.0,-6.0,2020-11-04
16705,SCI TOTAL,39469.0,115.0,39354.0,46.0,1.0,28.0,2020-11-04
16706,CCC/F East,625.0,0.0,625.0,-12.0,-12.0,-12.0,2020-11-04
16707,CCC/F Central,814.0,0.0,814.0,-14.0,-14.0,-14.0,2020-11-04
16708,CCC/F West,791.0,0.0,791.0,-32.0,-32.0,-32.0,2020-11-04
16709,CCC/F TOTAL,2230.0,0.0,2230.0,-58.0,-58.0,-58.0,2020-11-04
16710,Albion,2200.0,4.0,2196.0,14.0,12.0,29.0,2020-11-10
16711,Benner,1939.0,3.0,1936.0,1.0,1.0,-15.0,2020-11-10
16712,Camp Hill,2001.0,7.0,1994.0,-108.0,-111.0,-54.0,2020-11-10
16713,Cambridge Springs,958.0,18.0,940.0,3.0,-2.0,-12.0,2020-11-10
16714,Chester,1014.0,2.0,1012.0,-3.0,-6.0,-15.0,2020-11-10
16715,Coal Township,2318.0,4.0,2314.0,20.0,21.0,30.0,2020-11-10
16716,Dallas,1982.0,2.0,1980.0,-2.0,-5.0,-15.0,2020-11-10
16717,Frackville,1137.0,3.0,1134.0,-1.0,-4.0,91.0,2020-11-10
16718,Forest,2334.0,4.0,2330.0,-2.0,-7.0,19.0,2020-11-10
16719,Fayette,1961.0,3.0,1958.0,25.0,19.0,15.0,2020-11-10
16720,Greene,1735.0,3.0,1732.0,-3.0,-3.0,17.0,2020-11-10
16721,Houtzdale,2412.0,2.0,2410.0,3.0,4.0,-5.0,2020-11-10
16722,Huntingdon,1698.0,1.0,1697.0,-1.0,-3.0,-8.0,2020-11-10
16723,Laurel Highlands,842.0,13.0,829.0,-1.0,-2.0,-17.0,2020-11-10
16724,Mahanoy,2254.0,5.0,2249.0,-2.0,-5.0,-16.0,2020-11-10
16725,Mercer,1199.0,3.0,1196.0,0.0,-3.0,-12.0,2020-11-10
16726,Muncy,1072.0,10.0,1062.0,1.0,0.0,5.0,2020-11-10
16727,Phoenix,2964.0,9.0,2955.0,31.0,24.0,-7.0,2020-11-10
16728,Pine Grove,961.0,3.0,958.0,0.0,-1.0,-29.0,2020-11-10
16729,Quehanna,339.0,0.0,339.0,0.0,-3.0,22.0,2020-11-10
16730,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-10
16731,Rockview,1569.0,4.0,1565.0,-1.0,-2.0,-12.0,2020-11-10
16732,Smithfield,1326.0,4.0,1322.0,-2.0,-4.0,-9.0,2020-11-10
16733,Somerset,2203.0,0.0,2203.0,0.0,-6.0,-19.0,2020-11-10
16734,Waymart,989.0,7.0,982.0,-2.0,-2.0,-16.0,2020-11-10
16735,SCI TOTAL,39407.0,114.0,39293.0,-30.0,-88.0,-33.0,2020-11-10
16736,CCC/F East,657.0,0.0,657.0,0.0,0.0,20.0,2020-11-10
16737,CCC/F Central,824.0,0.0,824.0,0.0,0.0,-4.0,2020-11-10
16738,CCC/F West,798.0,0.0,798.0,0.0,0.0,-25.0,2020-11-10
16739,CCC/F TOTAL,2279.0,0.0,2279.0,0.0,0.0,-9.0,2020-11-10
16740,Albion,2245.0,2.0,2243.0,0.0,-17.0,-48.0,2020-04-25
16741,Benner,2050.0,3.0,2047.0,-2.0,-8.0,-27.0,2020-04-25
16742,Camp Hill,2979.0,8.0,2971.0,-5.0,124.0,44.0,2020-04-25
16743,Cambridge Springs,1134.0,16.0,1118.0,0.0,-35.0,-40.0,2020-04-25
16744,Chester,1028.0,1.0,1027.0,0.0,-21.0,-94.0,2020-04-25
16745,Coal Township,2094.0,5.0,2089.0,-6.0,-23.0,-56.0,2020-04-25
16746,Dallas,2133.0,3.0,2130.0,-1.0,-11.0,-56.0,2020-04-25
16747,Frackville,1173.0,3.0,1170.0,0.0,-9.0,-33.0,2020-04-25
16748,Forest,2285.0,5.0,2280.0,-1.0,-10.0,-19.0,2020-04-25
16749,Fayette,1955.0,2.0,1953.0,-8.0,-21.0,-77.0,2020-04-25
16750,Greene,1758.0,1.0,1757.0,0.0,-10.0,-34.0,2020-04-25
16751,Houtzdale,2470.0,3.0,2467.0,-6.0,-13.0,-53.0,2020-04-25
16752,Huntingdon,1993.0,1.0,1992.0,-2.0,-8.0,-42.0,2020-04-25
16753,Laurel Highlands,1374.0,13.0,1361.0,-3.0,-33.0,-93.0,2020-04-25
16754,Mahanoy,2309.0,3.0,2306.0,0.0,-17.0,-62.0,2020-04-25
16755,Mercer,1301.0,3.0,1298.0,-1.0,-20.0,-63.0,2020-04-25
16756,Muncy,1318.0,9.0,1309.0,-1.0,-26.0,-67.0,2020-04-25
16757,Phoenix,3054.0,8.0,3046.0,-7.0,-35.0,-152.0,2020-04-25
16758,Pine Grove,1011.0,2.0,1009.0,1.0,-5.0,-28.0,2020-04-25
16759,Quehanna,318.0,0.0,318.0,0.0,-57.0,-94.0,2020-04-25
16760,Retreat,324.0,0.0,324.0,0.0,-160.0,133.0,2020-04-25
16761,Rockview,2306.0,2.0,2304.0,-1.0,-12.0,-37.0,2020-04-25
16762,Smithfield,1277.0,3.0,1274.0,-2.0,-11.0,-29.0,2020-04-25
16763,Somerset,2313.0,0.0,2313.0,-4.0,-9.0,-53.0,2020-04-25
