County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Washington,04/30/2020,0,0.1,3,206865,0,0.07,1.45,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lackawanna,05/04/2020,3,2.7,98,209674,1.43,1.29,46.74,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Indiana,06/03/2020,0,0,6,84073,0,0,7.14,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Venango,07/03/2020,0,0,0,50668,0,0,0,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Cumberland,10/22/2020,0,0.1,79,253370,0,0.06,31.18,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Delaware,05/29/2020,5,4.9,625,566747,0.88,0.86,110.28,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Franklin,11/30/2020,5,3.6,133,155027,3.23,2.3,85.79,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Franklin,10/06/2020,0,0,52,155027,0,0,33.54,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Forest,11/11/2020,0,0,1,7247,0,0,13.8,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Fulton,11/09/2020,0,0,4,14530,0,0,27.53,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Clarion,07/29/2020,0,0,2,38438,0,0,5.2,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
McKean,10/20/2020,0,0,2,40625,0,0,4.92,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Cameron,06/28/2020,0,0,0,4447,0,0,0,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Cambria,11/05/2020,2,0.7,17,130192,1.54,0.55,13.06,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
